"VARIANT","SEQ","FVS","FIA","PLANT"
"NE",38,"SH","407","CAOV2"
"NE",39,"MH","409","CAAL27"
"NE",40,"AB","531","FAGR"
"NE",41,"AS","540","FRAXI"
"NE",42,"WA","541","FRAM2"
"NE",43,"BA","543","FRNI"
"NE",44,"GA","544","FRPE"
"NE",45,"PA","545","FRPR"
"NE",46,"YP","621","LITU"
"NE",47,"SU","611","LIST2"
"NE",48,"CT","651","MAAC"
"NE",49,"QA","746","POTR5"
"NE",50,"BP","741","POBA2"
"NE",51,"EC","742","PODE3"
"NE",52,"BT","743","POGR4"
"NE",53,"PY","744","POHE4"
"NE",54,"BC","762","PRSE2"
"NE",55,"WO","802","QUAL"
"NE",56,"BR","823","QUMA2"
"NE",57,"CK","826","QUMU"
"NE",58,"PO","835","QUST"
"NE",59,"OK","800","QUERC"
"NE",60,"SO","806","QUCO2"
"NE",61,"QI","817","QUIM"
"NE",62,"WK","827","QUNI"
"NE",63,"PN","830","QUPA2"
"NE",64,"CO","832","QUPR2"
"NE",65,"SW","804","QUBI"
"NE",66,"SN","825","QUMI"
"NE",67,"RO","833","QURU"
"NE",68,"SK","812","QUFA"
"NE",69,"BO","837","QUVE"
"NE",70,"CB","813","QUPA5"
"NE",71,"","",""
"NE",72,"BU","330","AESCU"
"NE",73,"YY","332","AEFL"
"NE",74,"WR","374","BEOC2"
"NE",75,"HK","462","CEOC"
"NE",76,"PS","521","DIVI5"
"NE",77,"HY","591","ILOP"
"NE",78,"BN","601","JUCI"
"NE",79,"WN","602","JUNI"
"NE",80,"OO","641","MAPO"
"NE",81,"MG","650","MAGNO"
"NE",82,"MV","653","MAVI2"
"NE",83,"AP","660","MALUS"
"NE",84,"WT","691","NYAQ2"
"NE",85,"BG","693","NYSY"
"NE",86,"SD","711","OXAR"
"NE",87,"PW","712","PATO2"
"NE",88,"SY","731","PLOC"
"NE",89,"WL","831","QUPH"
"NE",90,"BK","901","ROPS"
"NE",91,"BL","922","SANI"
"NE",92,"SS","931","SAAL5"
"NE",93,"BW","951","TIAM"
"NE",94,"WB","952","TIAMH"
"NE",95,"EL","970","ULMUS"
"NE",96,"AE","972","ULAM"
"NE",97,"RL","975","ULRU"
"NE",98,"OH","998","2TB"
"NE",99,"BE","313","ACNE2"
"NE",100,"ST","315","ACPE"
"NE",101,"AI","341","AIAL"
"NE",102,"SE","356","AMELA"
"NE",103,"AH","391","CACA18"
"NE",104,"DW","491","COFL2"
"NE",105,"HT","500","CRATA"
"NE",106,"HH","701","OSVI"
"NE",107,"PL","760","PRUNU"
"NE",108,"PR","761","PRPE2"
"OC",1,"PC","041","CHLA"
"OC",2,"IC","081","CADE27"
"OC",3,"RC","242","THPL"
"OC",4,"GF","017","ABGR"
"OC",5,"RF","020","ABMA"
"OC",6,"SH","021","ABSH"
"OC",7,"DF","202","PSME"
"OC",8,"WH","263","TSHE"
"OC",9,"MH","264","TSME"
"OC",10,"WB","101","PIAL"
"OC",11,"KP","103","PIAT"
"OC",12,"LP","108","PICO"
"OC",13,"CP","109","PICO3"
"OC",14,"LM","113","PIFL2"
"OC",15,"JP","116","PIJE"
"OC",16,"SP","117","PILA"
"OC",17,"WP","119","PIMO3"
"OC",18,"PP","122","PIPO"
"OC",19,"MP","124","PIRA2"
"OC",20,"GP","127","PISA2"
"OC",21,"WJ","064","JUOC"
"OC",22,"BR","092","PIBR"
"OC",23,"GS","212","SEGI2"
"OC",24,"PY","231","TABR2"
"OC",25,"OS","299","2TN"
"OC",26,"LO","801","QUAG"
"OC",27,"CY","805","QUCH2"
"OC",28,"BL","807","QUDO"
"OC",29,"EO","811","QUEN"
"OC",30,"WO","815","QUGA4"
"OC",31,"BO","818","QUKE"
"OC",32,"VO","821","QULO"
"OC",33,"IO","839","QUWI2"
"OC",34,"BM","312","ACMA3"
"OC",35,"BU","333","AECA"
"OC",36,"RA","351","ALRU2"
"OC",37,"MA","361","ARME"
"OC",38,"GC","431","CHCHC4"
"OC",39,"DG","492","CONU4"
"OC",40,"FL","542","FRLA"
"OC",41,"WN","600","JUGLA"
"OC",42,"TO","631","LIDE3"
"OC",43,"SY","730","PLRA"
"OC",44,"AS","746","POTR5"
"OC",45,"CW","747","POBAT"
"OC",46,"WI","920","SALIX"
"OC",47,"CN","251","TOCA"
"OC",48,"CL","981","UMCA"
"OC",49,"OH","998","2TB"
"OC",50,"RW","211","SESE3"
"OP",1,"SF","011","ABAM"
"OP",2,"WF","015","ABCO"
"OP",3,"GF","017","ABGR"
"OP",4,"AF","019","ABLA"
"OP",5,"RF","020","ABMA"
"OP",6,"SS","098","PISI"
"OP",7,"NF","022","ABPR"
"OP",8,"YC","042","CANO9"
"OP",9,"IC","081","CADE27"
"OP",10,"ES","093","PIEN"
"OP",11,"LP","108","PICO"
"OP",12,"JP","116","PIJE"
"OP",13,"SP","117","PILA"
"OP",14,"WP","119","PIMO3"
"OP",15,"PP","122","PIPO"
"OP",16,"DF","202","PSME"
"OP",17,"RW","211","SESE3"
"OP",18,"RC","242","THPL"
"OP",19,"WH","263","TSHE"
"OP",20,"MH","264","TSME"
"OP",21,"BM","312","ACMA3"
"OP",22,"RA","351","ALRU2"
"OP",23,"MA","361","ARME"
"OP",24,"TO","631","LIDE3"
"OP",25,"GC","431","CHCHC4"
"OP",26,"AS","746","POTR5"
"OP",27,"CW","747","POBAT"
"OP",28,"WO","815","QUGA4"
"OP",29,"WJ","064","JUOC"
"OP",30,"LL","072","LALY"
"OP",31,"WB","101","PIAL"
"OP",32,"KP","103","PIAT"
"OP",33,"PY","231","TABR2"
"OP",34,"DG","492","CONU4"
"OP",35,"HT","500","CRATA"
"OP",36,"CH","768","PREM"
"OP",37,"WI","920","SALIX"
"OP",38,"","",""
"OP",39,"OT","999","2TREE"
"PN",1,"SF","011","ABAM"
"PN",2,"WF","015","ABCO"
"PN",3,"GF","017","ABGR"
"PN",4,"AF","019","ABLA"
"PN",5,"RF","020","ABMA"
"PN",6,"SS","098","PISI"
"PN",7,"NF","022","ABPR"
"PN",8,"YC","042","CANO9"
"PN",9,"IC","081","CADE27"
"PN",10,"ES","093","PIEN"
"PN",11,"LP","108","PICO"
"PN",12,"JP","116","PIJE"
"PN",13,"SP","117","PILA"
"PN",14,"WP","119","PIMO3"
"PN",15,"PP","122","PIPO"
"PN",16,"DF","202","PSME"
"PN",17,"RW","211","SESE3"
"PN",18,"RC","242","THPL"
"PN",19,"WH","263","TSHE"
"PN",20,"MH","264","TSME"
"PN",21,"BM","312","ACMA3"
"PN",22,"RA","351","ALRU2"
"PN",23,"WA","352","ALRH2"
"PN",24,"PB","375","BEPA"
"PN",25,"GC","431","CHCHC4"
"PN",26,"AS","746","POTR5"
"PN",27,"CW","747","POBAT"
"PN",28,"WO","815","QUGA4"
"PN",29,"WJ","064","JUOC"
"PN",30,"LL","072","LALY"
"PN",31,"WB","101","PIAL"
"PN",32,"KP","103","PIAT"
"PN",33,"PY","231","TABR2"
"PN",34,"DG","492","CONU4"
"PN",35,"HT","500","CRATA"
"PN",36,"CH","768","PREM"
"PN",37,"WI","920","SALIX"
"PN",38,"","",""
"PN",39,"OT","999","2TREE"
"SN",1,"FR","010","ABIES"
"SN",2,"JU","057","JUNIP"
"SN",3,"PI","090","PICEA"
"SN",4,"PU","107","PICL"
"SN",5,"SP","110","PIEC2"
"SN",6,"SA","111","PIEL"
"SN",7,"SR","115","PIGL2"
"SN",8,"LL","121","PIPA2"
"SN",9,"TM","123","PIPU5"
"SN",10,"PP","126","PIRI"
"SN",11,"PD","128","PISE"
"SN",12,"WP","129","PIST"
"SN",13,"LP","131","PITA"
"SN",14,"VP","132","PIVI2"
"SN",15,"BY","221","TADI2"
"SN",16,"PC","222","TAAS"
"SN",17,"HM","260","TSUGA"
"SN",18,"FM","311","ACBA3"
"SN",19,"BE","313","ACNE2"
"SN",20,"RM","316","ACRU"
"SN",21,"SV","317","ACSA2"
"SN",22,"SM","318","ACSA3"
"SN",23,"BU","330","AESCU"
"SN",24,"BB","370","BETUL"
"SN",25,"SB","372","BELE"
"SN",26,"AH","391","CACA18"
"SN",27,"HI","400","CARYA"
"SN",28,"CA","450","CATAL"
"SN",29,"HB","460","CELTI"
"SN",30,"RD","471","CECA4"
"SN",31,"DW","491","COFL2"
"SN",32,"PS","521","DIVI5"
"SN",33,"AB","531","FAGR"
"SN",34,"AS","540","FRAXI"
"SN",35,"WA","541","FRAM2"
"SN",36,"BA","543","FRNI"
"SN",37,"GA","544","FRPE"
"SN",38,"HL","552","GLTR"
"SN",39,"LB","555","GOLA"
"SN",40,"HA","580","HALES"
"SN",41,"HY","591","ILOP"
"SN",42,"BN","601","JUCI"
"SN",43,"WN","602","JUNI"
"SN",44,"SU","611","LIST2"
"SN",45,"YP","621","LITU"
"SN",46,"MG","650","MAGNO"
"SN",47,"CT","651","MAAC"
"SN",48,"MS","652","MAGR4"
"SN",49,"MV","653","MAVI2"
"SN",50,"ML","654","MAMA2"
"SN",51,"AP","660","MALUS"
"SN",52,"MB","680","MORUS"
"SN",53,"WT","691","NYAQ2"
"SN",54,"BG","693","NYSY"
"SN",55,"TS","694","NYBI"
"SN",56,"HH","701","OSVI"
"SN",57,"SD","711","OXAR"
"SN",58,"RA","721","PEBO"
"SN",59,"SY","731","PLOC"
"SN",60,"CW","740","POPUL"
"SN",61,"BT","743","POGR4"
"SN",62,"BC","762","PRSE2"
"SN",63,"WO","802","QUAL"
"SN",64,"SO","806","QUCO2"
"SN",65,"SK","812","QUFA"
"SN",66,"CB","813","QUPA5"
"SN",67,"TO","819","QULA2"
"SN",68,"LK","820","QULA3"
"SN",69,"OV","822","QULY"
"SN",70,"BJ","824","QUMA3"
"SN",71,"SN","825","QUMI"
"SN",72,"CK","826","QUMU"
"SN",73,"WK","827","QUNI"
"SN",74,"CO","832","QUPR2"
"SN",75,"RO","833","QURU"
"SN",76,"QS","834","QUSH"
"SN",77,"PO","835","QUST"
"SN",78,"BO","837","QUVE"
"SN",79,"LO","838","QUVI"
"SN",80,"BK","901","ROPS"
"SN",81,"WI","920","SALIX"
"SN",82,"SS","931","SAAL5"
"SN",83,"BD","950","TILIA"
"SN",84,"EL","970","ULMUS"
"SN",85,"WE","971","ULAL"
"SN",86,"AE","972","ULAM"
"SN",87,"RL","975","ULRU"
"SN",88,"OS","299","2TN"
"SN",89,"OH","998","2TB"
"SN",90,"OT","999","2TREE"
"SO",1,"WP","119","PIMO3"
"SO",2,"SP","117","PILA"
"SO",3,"DF","202","PSME"
"SO",4,"WF","015","ABCO"
"SO",5,"MH","264","TSME"
"SO",6,"IC","081","CADE27"
"SO",7,"LP","108","PICO"
"SO",8,"ES","093","PIEN"
"SO",9,"SH","021","ABSH"
"SO",10,"PP","122","PIPO"
"SO",11,"WJ","064","JUOC"
"SO",12,"GF","017","ABGR"
"SO",13,"AF","019","ABLA"
"SO",14,"SF","011","ABAM"
"SO",15,"NF","022","ABPR"
"SO",16,"WB","101","PIAL"
"SO",17,"WL","073","LAOC"
"SO",18,"RC","242","THPL"
"SO",19,"WH","263","TSHE"
"SO",20,"PY","231","TABR2"
"SO",21,"WA","352","ALRH2"
"SO",22,"RA","351","ALRU2"
"SO",23,"BM","312","ACMA3"
"SO",24,"AS","746","POTR5"
"SO",25,"CW","747","POBAT"
"SO",26,"CH","768","PREM"
"SO",27,"WO","815","QUGA4"
"SO",28,"WI","920","SALIX"
"SO",29,"GC","431","CHCHC4"
"SO",30,"MC","475","CELE3"
"SO",31,"MB","478","CEMOG"
"SO",32,"OS","299","2TN"
"SO",33,"OH","998","2TB"
"TT",1,"WB","101","PIAL"
"TT",2,"LM","113","PIFL2"
"TT",3,"DF","202","PSME"
"TT",4,"PM","133","PIMO"
"TT",5,"BS","096","PIPU"
"TT",6,"AS","746","POTR5"
"TT",7,"LP","108","PICO"
"TT",8,"ES","093","PIEN"
"TT",9,"AF","019","ABLA"
"TT",10,"PP","122","PIPO"
"TT",11,"UJ","065","JUOS"
"TT",12,"RM","066","JUSC2"
"TT",13,"BI","322","ACGR3"
"TT",14,"MM","321","ACGL"
"TT",15,"NC","749","POAN3"
"TT",16,"MC","475","CELE3"
"TT",17,"OS","299","2TN"
"TT",18,"OH","998","2TB"
"UT",1,"WB","101","PIAL"
"UT",2,"LM","113","PIFL2"
"UT",3,"DF","202","PSME"
"UT",4,"WF","015","ABCO"
"UT",5,"BS","096","PIPU"
"UT",6,"AS","746","POTR5"
"UT",7,"LP","108","PICO"
"UT",8,"ES","093","PIEN"
"UT",9,"AF","019","ABLA"
"UT",10,"PP","122","PIPO"
"UT",11,"PI","106","PIED"
"UT",12,"WJ","064","JUOC"
"UT",13,"GO","814","QUGA"
"UT",14,"PM","133","PIMO"
"UT",15,"RM","066","JUSC2"
"UT",16,"UJ","065","JUOS"
"UT",17,"GB","142","PILO"
"UT",18,"NC","749","POAN3"
"UT",19,"FC","748","POFR2"
"UT",20,"MC","475","CELE3"
"UT",21,"BI","322","ACGR3"
"UT",22,"BE","313","ACNE2"
"UT",23,"OS","299","2TN"
"UT",24,"OH","998","2TB"
"WC",1,"SF","011","ABAM"
"WC",2,"WF","015","ABCO"
"WC",3,"GF","017","ABGR"
"WC",4,"AF","019","ABLA"
"WC",5,"RF","020","ABMA"
"WC",6,"","",""
"WC",7,"NF","022","ABPR"
"WC",8,"YC","042","CANO9"
"WC",9,"IC","081","CADE27"
"WC",10,"ES","093","PIEN"
"WC",11,"LP","108","PICO"
"WC",12,"JP","116","PIJE"
"WC",13,"SP","117","PILA"
"WC",14,"WP","119","PIMO3"
"WC",15,"PP","122","PIPO"
"WC",16,"DF","202","PSME"
"WC",17,"RW","211","SESE3"
"WC",18,"RC","242","THPL"
"WC",19,"WH","263","TSHE"
"WC",20,"MH","264","TSME"
"WC",21,"BM","312","ACMA3"
"WC",22,"RA","351","ALRU2"
"WC",23,"WA","352","ALRH2"
"WC",24,"PB","375","BEPA"
"WC",25,"GC","431","CHCHC4"
"WC",26,"AS","746","POTR5"
"WC",27,"CW","747","POBAT"
"WC",28,"WO","815","QUGA4"
"WC",29,"WJ","064","JUOC"
"WC",30,"LL","072","LALY"
"WC",31,"WB","101","PIAL"
"WC",32,"KP","103","PIAT"
"WC",33,"PY","231","TABR2"
"WC",34,"DG","492","CONU4"
"WC",35,"HT","500","CRATA"
"WC",36,"CH","768","PREM"
"WC",37,"WI","920","SALIX"
"WC",38,"","",""
"WC",39,"OT","999","2TREE"
"WS",1,"SP","117","PILA"
"WS",2,"DF","202","PSME"
"WS",3,"WF","015","ABCO"
"WS",4,"GS","212","SEGI2"
"WS",5,"IC","081","CADE27"
"WS",6,"JP","116","PIJE"
"WS",7,"RF","020","ABMA"
"WS",8,"PP","122","PIPO"
"WS",9,"LP","108","PICO"
"WS",10,"WB","101","PIAL"
"WS",11,"WP","119","PIMO3"
"WS",12,"PM","133","PIMO"
"WS",13,"SF","011","ABAM"
"WS",14,"KP","103","PIAT"
"WS",15,"FP","104","PIBA"
"WS",16,"CP","109","PICO3"
"WS",17,"LM","113","PIFL2"
"WS",18,"MP","124","PIRA2"
"WS",19,"GP","127","PISA2"
"WS",20,"WE","137","PIWA"
"WS",21,"GB","142","PILO"
"WS",22,"BD","201","PSMA"
"WS",23,"RW","211","SESE3"
"WS",24,"MH","264","TSME"
"WS",25,"WJ","064","JUOC"
"WS",26,"UJ","065","JUOS"
"WS",27,"CJ","062","JUCA7"
"WS",28,"LO","801","QUAG"
"WS",29,"CY","805","QUCH2"
"WS",30,"BL","807","QUDO"
"WS",31,"BO","818","QUKE"
"WS",32,"VO","821","QULO"
"WS",33,"IO","839","QUWI2"
"WS",34,"TO","631","LIDE3"
"WS",35,"GC","431","CHCHC4"
"WS",36,"AS","746","POTR5"
"WS",37,"CL","981","UMCA"
"WS",38,"MA","361","ARME"
"WS",39,"DG","492","CONU4"
"WS",40,"BM","312","ACMA3"
"WS",41,"MC","475","CELE3"
"WS",42,"OS","299","2TN"
"WS",43,"OH","998","2TB"
